Beschreibung der Aufgabe,Datum,Stunden
Kickoffmeeting,16.02.2015, 2
Besprechungsmeeting,20.02.2015, 1
Planungsmeeting,23.02.2015, 1.5
Meeting und Erweiterung FA,24.02.2015,2
Barcodescanner und API (Android) Recherche,03.03.2015, 5.5
Statusmeeting,06.03.2015, 0.25
Sprintwechsel,10.03.2015, 2
Daily-Scrum,12.03.2015, 0.25
Daily Scrum,14.03.2015, 0.5
Sprintwechsel Teil 1,17.03.2015, 1
Sprintwechsel Teil 2,18.03.2015, 1
Sprintabnahme, 23.04.2015, 0.5
Sprintwechsel, 24.03.2015, 2
Implementierung Voice Recogninition Teil 1, 26.03.2015, 5
Implementierung Barcodescanner Teil 1, 27.03.2015, 1.5
Implementierung Barcodescanner Teil 2, 28.03.2015, 1.5
Sprintwechsel, 31.03.2015, 2
Daily Scrum, 01.04.2015, 0.25
Infoseite, 2.04.2015, 5
Infoseite 2, 04.04.2014, 2
Debug Barcode, 05.04.2015, 1.5
Sprintwechsel, 07.04.2015, 1.5
Token, 07.04.2015, 3
Http, 08.04.2015, 4
Http/Token, 09.04.2015, 4

